Madera entamborada Maciza,0.02,600.00,1.32,0.13
Madera entamborada lisa,0.02,600.00,0.99,0.13
Linoleo,0.02,1200.00,0.19,0.84
Madera alamo,0.02,380.00,0.09,1759.00
Madera lingue,0.02,640.00,0.14,1759.00
Madera pino insigne,0.02,410.00,0.10,2805.00
Madera roble,0.02,800.00,0.16,1759.00
Corcho Comprimido,0.02,450.00,0.10,1.56
Tablero contrachapado,0.02,800.00,0.24,1.60
