Vidrio monolitico,0.05,2600.00,1.00,0.72
Vidrio monolitico Oscuro,0.05,2500.00,0.03,0.75
Vidrio doble,0.05,2500.00,0.01,0.75
Vidrio Sodocálcico,0.02,2500.00,1.00,0.75
Vidrio prensado,0.02,2000.00,1.20,0.75
Acrilico,0.02,1050.00,0.20,1.5
